                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.9326,                 3.2077,                 3.6558,                0.91812,                 0.3426,                 0.2328,                0.20978,                0.08508,                0.32493,                0.23173,                0.19898,                0.07775,                 3.1979,                 3.6827,                 3.9347,                0.92366,               0.007723,               0.007723,               0.007723
                     25,                 2.8813,                 3.1933,                 3.6049,                0.91748,                 0.3482,                0.23175,                0.19077,                0.08727,                0.33243,                0.24778,                 0.2055,                0.09309,                 3.0959,                 4.0251,                 3.9461,                0.92799,               0.007624,               0.007624,               0.007624
                     26,                 2.9355,                 3.1825,                 3.6218,                0.91648,                0.37537,                0.26589,                0.25522,                0.11723,                0.36293,                0.26027,                0.24527,                0.11648,                 3.1393,                 3.9052,                 3.9097,                  0.927,               0.007525,               0.007525,               0.007525
                     27,                 2.9007,                 3.1536,                 3.5512,                0.92018,                0.40694,                0.26135,                0.23269,                0.09998,                0.35385,                0.24172,                0.22389,                0.08528,                 3.2366,                 3.9358,                 4.0168,                0.92976,               0.007426,               0.007426,               0.007426
                     28,                 2.9374,                  3.262,                 3.5795,                0.91369,                0.37779,                0.22436,                0.20893,                0.08552,                0.35092,                0.22092,                0.20878,                0.07516,                 3.3213,                 3.8414,                 4.4327,                0.93504,               0.007327,               0.007327,               0.007327
                     29,                 2.8903,                 3.1869,                 3.5877,                0.92205,                0.34881,                0.25173,                0.21344,                0.09115,                0.31833,                0.23247,                 0.2093,                0.07104,                 3.2067,                 3.9396,                 4.0889,                 0.9277,               0.007228,               0.007228,               0.007228
                     30,                 2.9263,                 3.2773,                 3.6838,                0.91768,                0.48527,                0.23908,                0.23104,                0.09871,                0.39971,                0.25615,                0.24331,                0.09131,                 3.1066,                 3.7795,                 4.0547,                 0.9114,               0.007129,               0.007129,               0.007129
                     31,                  2.887,                 3.2027,                  3.511,                0.90971,                0.47989,                0.19739,                0.19238,                0.08313,                0.38718,                0.18619,                0.18897,                0.07106,                 3.3236,                 3.8934,                 4.1776,                0.92932,                0.00703,                0.00703,                0.00703
                     32,                 2.9062,                 3.1625,                 3.5008,                0.90351,                0.39716,                0.27924,                0.23944,                  0.105,                0.35958,                 0.2673,                0.24051,                0.09971,                 3.0341,                 3.9351,                 3.8185,                0.90139,               0.006931,               0.006931,               0.006931
                     33,                 2.8249,                  3.162,                 3.4252,                0.90218,                0.53417,                0.22054,                0.23029,                0.10494,                0.45778,                0.22461,                0.23528,                0.09023,                 3.1093,                 3.9971,                 3.8361,                0.91456,               0.006832,               0.006832,               0.006832
                     34,                 2.8335,                 3.0459,                 3.4453,                0.89982,                0.35639,                0.27564,                0.23601,                0.09937,                0.31176,                0.24886,                0.20794,                0.09324,                  3.115,                 3.7285,                 3.8787,                0.90535,               0.006733,               0.006733,               0.006733
                     35,                 2.8929,                 3.1045,                 3.4718,                0.90176,                 0.3743,                0.24144,                0.21767,                0.09602,                0.33853,                0.22221,                 0.2051,                0.09343,                 3.1113,                 3.7931,                 3.9623,                0.91637,               0.006634,               0.006634,               0.006634
                     36,                 2.8242,                 3.1226,                 3.4905,                0.89866,                0.37531,                 0.2874,                0.25011,                0.11153,                0.34087,                0.26916,                0.23977,                0.10284,                 3.0235,                 3.8673,                 3.8114,                0.91301,               0.006535,               0.006535,               0.006535
                     37,                 2.7832,                 3.0336,                 3.3854,                0.89868,                0.42602,                 0.2472,                0.24368,                0.11979,                0.34364,                0.23959,                 0.2269,                0.10431,                 3.0152,                 3.7978,                 3.9921,                0.89872,               0.006436,               0.006436,               0.006436
                     38,                 2.8257,                 3.1441,                 3.4197,                0.90591,                0.40259,                0.23817,                0.23392,                0.10912,                0.35081,                0.22544,                0.22033,                 0.0974,                 3.1058,                 3.8594,                 4.2072,                0.91438,               0.006337,               0.006337,               0.006337
                     39,                 2.7734,                 3.0524,                  3.359,                0.89842,                0.39567,                0.25516,                0.24263,                 0.1158,                 0.3787,                0.25802,                0.23811,                0.10371,                 3.0651,                 3.7647,                  3.913,                0.90501,               0.006238,               0.006238,               0.006238
                     40,                 2.7816,                 3.0092,                  3.409,                 0.8983,                0.39642,                0.22439,                0.21428,                0.10011,                0.35795,                0.22506,                0.21717,                0.10116,                 3.1777,                 4.0295,                 4.1026,                0.90841,               0.006139,               0.006139,               0.006139
                     41,                 2.8174,                 3.0672,                 3.4523,                0.89098,                  0.373,                0.26514,                0.24609,                0.11054,                0.34453,                0.24338,                 0.2301,                0.10186,                 3.0094,                 3.7247,                 3.9261,                0.90628,                0.00604,                0.00604,                0.00604
                     42,                 2.7976,                  3.102,                  3.364,                0.89585,                0.41684,                 0.2852,                0.27254,                0.12887,                0.38159,                0.27548,                0.26793,                 0.1174,                 3.0068,                 3.7685,                  3.803,                0.89832,               0.005941,               0.005941,               0.005941
                     43,                 2.7839,                  2.994,                 3.3824,                0.89645,                0.35001,                0.29159,                0.25167,                0.11885,                0.35428,                0.27842,                0.24768,                0.10702,                 3.0582,                 3.7917,                 3.8322,                0.91161,               0.005842,               0.005842,               0.005842
                     44,                 2.7051,                 3.0024,                 3.2968,                0.89424,                0.39703,                0.27327,                0.26424,                0.11684,                0.35877,                0.26711,                0.25525,                0.11152,                 2.9744,                 3.6932,                 3.7915,                0.90794,               0.005743,               0.005743,               0.005743
                     45,                 2.7174,                 2.8935,                 3.2728,                0.89087,                0.32539,                0.26026,                0.21141,                0.08495,                0.28012,                0.23996,                0.19417,                0.08166,                 3.0964,                 3.8711,                 3.8899,                 0.9024,               0.005644,               0.005644,               0.005644
                     46,                 2.7557,                 3.1088,                  3.315,                0.88989,                0.38079,                0.26588,                0.24978,                0.10909,                0.34812,                0.25941,                0.24113,                0.10746,                 3.0091,                 3.7112,                 3.9043,                0.90319,               0.005545,               0.005545,               0.005545
                     47,                 2.7019,                 2.9976,                 3.2524,                 0.8916,                0.36209,                0.28131,                0.25666,                0.12456,                0.33488,                0.26703,                0.24787,                 0.1221,                 2.9859,                 3.8492,                 3.8651,                0.89826,               0.005446,               0.005446,               0.005446
                     48,                 2.7319,                  2.926,                 3.2344,                0.88435,                0.41215,                0.25132,                0.24585,                0.11617,                0.39714,                0.24708,                 0.2373,                0.11625,                 3.0491,                 3.9863,                  4.136,                0.90882,               0.005347,               0.005347,               0.005347
                     49,                 2.6824,                 2.9562,                 3.2118,                0.88387,                0.46731,                0.26217,                0.25154,                0.11032,                0.43267,                0.23424,                0.23576,                0.10454,                 3.0258,                 3.7962,                 3.8372,                0.89666,               0.005248,               0.005248,               0.005248
                     50,                 2.7107,                 3.0562,                 3.3117,                0.88149,                 0.4172,                0.27646,                0.26619,                0.12392,                0.35715,                0.25297,                0.24454,                0.12077,                 2.9905,                 3.7062,                 3.7578,                0.89701,               0.005149,               0.005149,               0.005149
                     51,                 2.6775,                 2.8752,                 3.2128,                0.88578,                0.39857,                  0.289,                 0.2852,                0.13044,                0.34514,                 0.2555,                0.24424,                0.11289,                 2.9363,                 3.6895,                 3.6955,                0.89274,                0.00505,                0.00505,                0.00505
                     52,                  2.634,                 2.8341,                 3.1424,                0.87712,                0.48912,                0.22411,                0.22271,                0.10491,                0.40142,                0.20936,                0.20784,                0.09632,                 3.0486,                 3.8054,                  4.105,                0.90282,               0.004951,               0.004951,               0.004951
                     53,                  2.623,                 2.9067,                 3.1651,                0.88087,                0.35565,                0.27937,                0.23973,                0.10604,                0.29185,                0.26004,                0.21687,                0.09159,                 2.9803,                 3.8236,                 3.8479,                0.90133,               0.004852,               0.004852,               0.004852
                     54,                 2.6463,                 2.9438,                 3.2372,                0.87823,                0.38969,                0.24708,                0.24069,                0.10471,                0.32149,                0.23095,                0.22173,                0.09809,                 2.9973,                 3.7633,                 3.8127,                0.90183,               0.004753,               0.004753,               0.004753
                     55,                  2.601,                 2.9061,                 3.1393,                0.87939,                0.36925,                0.24926,                   0.22,                0.09259,                 0.3141,                0.22935,                0.20957,                0.08542,                 3.0956,                 3.8424,                 3.9931,                  0.896,               0.004654,               0.004654,               0.004654
                     56,                 2.6403,                 2.9873,                 3.1369,                0.87743,                0.40598,                0.26851,                0.24661,                0.10145,                0.33483,                0.23352,                0.21822,                  0.095,                 2.9668,                 3.7032,                 3.7859,                0.90753,               0.004555,               0.004555,               0.004555
                     57,                 2.6022,                 2.9235,                   3.11,                0.87443,                0.35593,                0.26292,                0.23363,                0.10782,                0.30562,                0.23473,                0.21365,                0.09603,                 2.9965,                 3.7329,                 3.8803,                0.89283,               0.004456,               0.004456,               0.004456
                     58,                 2.6121,                 2.8585,                 3.0931,                0.87526,                0.39919,                0.26838,                0.24477,                0.11443,                0.31555,                0.25718,                0.23114,                0.10001,                 2.9973,                 3.6354,                 3.7272,                0.89312,               0.004357,               0.004357,               0.004357
                     59,                 2.5907,                  2.843,                 3.0684,                0.87556,                0.40348,                0.28602,                0.26493,                0.12565,                0.35662,                0.26848,                0.24659,                0.11151,                 2.9614,                 3.8377,                   3.83,                0.90187,               0.004258,               0.004258,               0.004258
                     60,                 2.6243,                 2.8913,                 3.1188,                0.87295,                0.39276,                0.28159,                0.26615,                0.12076,                0.34522,                0.26261,                0.24072,                0.10556,                 2.9369,                 3.6917,                 3.7114,                0.88584,               0.004159,               0.004159,               0.004159
                     61,                 2.5578,                 2.7512,                 3.0929,                 0.8701,                 0.3864,                0.25772,                0.25221,                0.11355,                0.34248,                0.23636,                0.22911,                0.10418,                 2.9425,                 3.7312,                 3.8468,                 0.8858,                0.00406,                0.00406,                0.00406
                     62,                 2.5618,                  2.855,                 3.0468,                0.86851,                0.37603,                0.27091,                0.24691,                0.11211,                0.30765,                0.22866,                0.20319,                0.09534,                 2.9624,                 3.6583,                 3.7739,                0.89215,               0.003961,               0.003961,               0.003961
                     63,                 2.5322,                 2.7769,                 3.0287,                0.86723,                0.46786,                0.23725,                0.24262,                0.11123,                0.38963,                 0.2196,                0.21349,                0.09655,                 3.0047,                 3.7893,                 3.8531,                0.89696,               0.003862,               0.003862,               0.003862
                     64,                 2.5607,                 2.7979,                 3.0532,                0.87133,                0.38741,                 0.2974,                0.26634,                0.11708,                0.32364,                0.27693,                0.24188,                0.10188,                 2.9219,                 3.6111,                 3.7404,                0.90106,               0.003763,               0.003763,               0.003763
                     65,                 2.5656,                 2.8657,                 3.0509,                 0.8697,                0.39704,                0.28626,                0.26367,                0.11506,                0.35994,                 0.2797,                  0.248,                0.09933,                 2.9006,                 3.6335,                 3.7324,                0.89144,               0.003664,               0.003664,               0.003664
                     66,                 2.5571,                 2.9436,                 3.0642,                0.87102,                0.37782,                0.29019,                0.26278,                0.11516,                0.34809,                0.28531,                0.25482,                0.10495,                 2.9569,                 3.7694,                 3.7276,                0.89172,               0.003565,               0.003565,               0.003565
                     67,                 2.6013,                 2.9145,                 3.0938,                0.86773,                 0.4236,                0.28832,                0.26766,                0.11787,                0.35344,                 0.2603,                 0.2378,                0.10361,                 2.9116,                 3.6353,                  3.704,                0.88075,               0.003466,               0.003466,               0.003466
                     68,                 2.5329,                 2.8065,                 3.0102,                0.86478,                0.40285,                0.27097,                0.26137,                0.12233,                 0.3596,                0.24865,                0.23766,                0.10691,                 2.9447,                 3.7165,                 3.7949,                0.88062,               0.003367,               0.003367,               0.003367
                     69,                  2.536,                 2.7816,                 3.0015,                0.86766,                0.37771,                0.26735,                0.25671,                0.12307,                0.32939,                0.25939,                 0.2318,                0.10576,                 2.9137,                 3.6252,                 3.6762,                0.89035,               0.003268,               0.003268,               0.003268
