                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2684,                 4.9362,                 5.1317,                 1.3884,                0.13664,                0.06172,                0.02767,                 0.0082,                0.11981,                0.05934,                0.02945,                0.01093,                 3.4474,                 5.0552,                 3.4371,                 1.1449,               0.067202,             0.00033129,             0.00033129
                      1,                 3.2007,                 4.1735,                 2.7721,                 1.0931,                 0.2071,                0.13696,                0.09725,                0.03336,                0.20268,                0.13038,                0.08231,                0.02899,                 3.3334,                 4.5001,                  2.755,                 1.0503,                0.03417,             0.00063172,             0.00063172
                      2,                 3.1865,                 3.9127,                 2.4755,                 1.0234,                0.37309,                0.13864,                0.11635,                0.04323,                 0.3834,                0.12653,                0.12247,                0.04095,                 3.2438,                  4.417,                  2.444,                 1.0164,              0.0011037,             0.00089916,             0.00089916
                      3,                 3.0572,                 3.6057,                 2.2598,                0.99166,                0.37855,                0.20989,                0.17471,                0.07056,                0.43345,                0.16148,                0.17602,                0.07011,                  3.208,                 4.1178,                 2.3077,                0.98583,              0.0008515,              0.0008515,              0.0008515
                      4,                 3.0686,                 3.5434,                 2.1884,                0.96895,                0.32859,                0.22646,                0.17646,                0.07686,                0.31561,                  0.247,                0.18874,                0.07694,                 3.1997,                 4.0987,                 2.2074,                0.96835,              0.0008515,              0.0008515,              0.0008515
                      5,                 3.0241,                 3.4917,                 2.1203,                0.96776,                0.38163,                0.21725,                0.17944,                0.07771,                0.36163,                0.22416,                0.20532,                0.08476,                  3.183,                 4.0914,                  2.177,                0.97409,               0.000802,               0.000802,               0.000802
                      6,                 2.9693,                 3.4435,                 2.0399,                0.95168,                0.40626,                0.24765,                0.21665,                0.09703,                0.36067,                0.23681,                0.21788,                0.08961,                 3.1928,                 3.8812,                 2.1251,                0.95149,              0.0007525,              0.0007525,              0.0007525
                      7,                 2.9739,                 3.4218,                 2.0004,                0.93904,                0.48119,                0.24067,                0.21851,                0.09642,                 0.4069,                0.22637,                0.22843,                0.10012,                 3.0976,                 3.9299,                 2.0827,                0.94925,               0.000703,               0.000703,               0.000703
                      8,                 2.9467,                  3.263,                 1.9705,                0.94467,                0.36374,                0.24077,                0.21259,                0.09017,                0.33095,                0.23507,                0.23087,                0.09169,                 3.1062,                 4.0234,                 2.0724,                0.95163,              0.0006535,              0.0006535,              0.0006535
                      9,                 2.9406,                 3.5113,                 1.9701,                 0.9429,                 0.3721,                0.25763,                0.23034,                 0.0963,                0.49056,                0.21627,                0.24966,                0.09925,                 3.0859,                 3.9359,                 2.0237,                0.94015,               0.000604,               0.000604,               0.000604
                     10,                 2.8985,                 3.4266,                 1.9303,                0.94216,                0.40959,                0.24898,                0.22016,                0.09834,                0.38637,                0.23628,                0.23655,                0.10234,                  3.074,                 3.8236,                 2.0269,                0.93465,              0.0005545,              0.0005545,              0.0005545
                     11,                 2.9017,                 3.3008,                  1.914,                0.93156,                0.39126,                 0.2684,                0.22864,                0.10437,                0.36022,                0.26844,                0.25801,                 0.1111,                 3.0336,                 3.8076,                 1.9748,                0.93679,               0.000505,               0.000505,               0.000505
                     12,                 2.9003,                 3.2262,                 1.9577,                0.93177,                0.39555,                0.24536,                0.23201,                0.10619,                0.36327,                0.24408,                0.24111,                0.10359,                 3.0802,                 3.7796,                 2.0625,                 0.9267,              0.0004555,              0.0004555,              0.0004555
                     13,                 2.8192,                 3.2485,                 1.8561,                0.92348,                0.39004,                0.25141,                0.22852,                 0.1012,                0.45972,                0.21951,                0.24631,                 0.1035,                 3.0124,                 3.7155,                  1.997,                0.93145,               0.000406,               0.000406,               0.000406
                     14,                  2.848,                 3.2829,                 1.8454,                0.92804,                0.37526,                0.26149,                0.22028,                 0.1043,                0.34401,                0.25263,                0.24037,                0.10814,                 2.9982,                  3.783,                  1.961,                0.92879,              0.0003565,              0.0003565,              0.0003565
                     15,                 2.8422,                 3.2434,                 1.8499,                0.92677,                0.36494,                0.26506,                0.22623,                0.10544,                0.34618,                0.25751,                0.24057,                0.10841,                 3.0077,                 3.7341,                 1.9785,                0.92308,               0.000307,               0.000307,               0.000307
                     16,                 2.8423,                 3.1814,                 1.8441,                0.92221,                0.38294,                0.26136,                0.23419,                0.10891,                0.36768,                0.25916,                0.25587,                0.10591,                 2.9977,                  3.728,                 2.0058,                0.92906,              0.0002575,              0.0002575,              0.0002575
                     17,                  2.835,                 3.1604,                 1.8272,                0.92622,                0.37121,                0.26464,                0.22738,                0.10758,                0.35565,                0.27588,                 0.2585,                0.10989,                 2.9698,                  3.738,                 1.9564,                 0.9248,               0.000208,               0.000208,               0.000208
                     18,                 2.8539,                  3.208,                 1.8566,                  0.924,                0.38187,                 0.2618,                0.24138,                0.11371,                0.36513,                0.26596,                0.25503,                0.11448,                 2.9943,                 3.6625,                 1.9811,                0.92297,              0.0001585,              0.0001585,              0.0001585
                     19,                 2.8163,                 3.1963,                 1.8229,                0.91978,                0.35861,                0.26472,                0.23254,                 0.1104,                0.35927,                  0.274,                0.25742,                0.11114,                 2.9677,                 3.6825,                 1.9517,                0.92198,               0.000109,               0.000109,               0.000109
