                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.852,                 4.5445,                 8.9274,                 1.8731,                0.15303,                0.14192,                0.09454,                0.03202,                  0.148,                0.10761,                0.07573,                0.02072,                 2.6355,                 4.1113,                 6.6793,                 1.8214,               0.067169,             0.00033162,             0.00033162
                      1,                  2.542,                 3.8097,                 6.1467,                 1.6409,                0.32677,                0.24842,                 0.2234,                0.09616,                0.30307,                0.21147,                0.18142,                0.06779,                  2.313,                 3.4966,                 5.2318,                 1.5287,               0.034167,             0.00066318,             0.00066318
                      2,                 2.2587,                 3.3489,                 4.8995,                 1.4699,                0.38175,                0.34772,                 0.3212,                0.14148,                0.34214,                0.28733,                0.24698,                0.09098,                  2.129,                 3.1705,                 4.4993,                 1.4787,              0.0011639,             0.00099297,             0.00099297
                      3,                 2.1135,                 2.9579,                 4.4127,                 1.3946,                0.42134,                0.38517,                0.36438,                0.17125,                0.37097,                0.34124,                 0.2898,                0.11951,                 2.0499,                 2.9496,                 4.2671,                 1.4288,               0.000992,               0.000992,               0.000992
                      4,                 2.0762,                  2.957,                 4.0718,                 1.3454,                0.46227,                0.40232,                0.37827,                0.17347,                0.39875,                0.33188,                0.30275,                0.11873,                 2.0546,                 2.8778,                 4.2704,                 1.4034,               0.000992,               0.000992,               0.000992
                      5,                 2.0599,                 2.7686,                 4.1197,                 1.3356,                0.45391,                0.45164,                0.41616,                0.18624,                 0.3884,                0.35909,                0.31821,                0.12956,                 2.0053,                 2.8224,                 4.0336,                 1.3509,             0.00098933,             0.00098933,             0.00098933
                      6,                 2.0546,                 2.8588,                 3.9701,                  1.314,                0.46405,                 0.4388,                0.41167,                 0.1915,                0.42935,                0.34119,                 0.3127,                0.12399,                 2.0305,                 2.7622,                 4.0299,                  1.365,             0.00098667,             0.00098667,             0.00098667
                      7,                 2.0083,                 2.7686,                 3.8678,                 1.3233,                0.45987,                0.44446,                0.43468,                0.19514,                0.43845,                0.34846,                0.33212,                0.12319,                 1.9985,                  2.752,                 3.9299,                 1.3591,               0.000984,               0.000984,               0.000984
                      8,                   1.99,                 2.7367,                 3.7704,                 1.3004,                0.45077,                0.40039,                0.40436,                0.19094,                 0.4219,                0.34762,                0.33705,                0.13153,                 2.0052,                  2.729,                  4.006,                 1.3857,             0.00098133,             0.00098133,             0.00098133
                      9,                 2.0109,                 2.7051,                 3.7208,                 1.3151,                0.45703,                0.41514,                0.40443,                0.17911,                 0.4068,                0.34227,                0.30891,                0.11228,                 2.0724,                 2.7804,                 4.1057,                 1.4191,             0.00097867,             0.00097867,             0.00097867
                     10,                 1.9706,                 2.7299,                 3.6113,                 1.2949,                0.46463,                0.43446,                0.42166,                0.20157,                0.44624,                0.35883,                0.34763,                0.14092,                 2.0807,                  2.763,                 4.0152,                 1.4271,               0.000976,               0.000976,               0.000976
                     11,                 1.9986,                  2.588,                 3.6244,                 1.3132,                0.47448,                0.41314,                0.41131,                0.18832,                0.46351,                 0.3235,                0.31098,                 0.1287,                 2.0833,                 2.6911,                 3.9696,                 1.4467,             0.00097333,             0.00097333,             0.00097333
                     12,                 1.9866,                  2.687,                  3.618,                 1.3113,                0.47143,                0.45907,                0.42906,                0.19249,                0.43116,                0.36198,                0.33077,                0.13666,                 2.0898,                 2.6659,                 3.9641,                 1.4599,             0.00097067,             0.00097067,             0.00097067
                     13,                 2.0305,                 2.6588,                 3.6313,                 1.3344,                0.54566,                0.42492,                0.44367,                0.19657,                0.45094,                0.36732,                0.34536,                0.14248,                  2.081,                 2.6666,                 3.9595,                  1.442,               0.000968,               0.000968,               0.000968
                     14,                 2.0265,                 2.6753,                 3.6428,                  1.333,                0.45371,                0.44776,                0.41706,                0.19708,                0.41577,                0.37021,                0.32019,                0.13324,                 2.0783,                  2.737,                 3.9688,                 1.4143,             0.00096533,             0.00096533,             0.00096533
                     15,                 1.9211,                 2.5849,                 3.4245,                 1.2854,                0.43244,                0.41098,                0.39497,                0.16302,                0.39126,                 0.3542,                0.30987,                0.12461,                   2.13,                 2.8175,                 4.2347,                 1.4373,             0.00096267,             0.00096267,             0.00096267
                     16,                 1.9574,                 2.6114,                 3.4871,                 1.2888,                0.46658,                0.46524,                0.43487,                0.19531,                0.41214,                0.38034,                0.34645,                0.13834,                 2.0716,                 2.7708,                 3.9779,                  1.391,                0.00096,                0.00096,                0.00096
