                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3422,                 5.3163,                  6.364,                 1.4388,                 0.0551,                0.02532,                0.00871,                0.00248,                0.06879,                0.04284,                0.01523,                 0.0061,                 3.7396,                 5.6586,                 4.1339,                 1.2516,               0.067202,             0.00033129,             0.00033129
                      1,                 3.2846,                 4.7266,                 3.3629,                 1.1914,                0.14325,                0.07628,                0.04235,                0.01653,                 0.1836,                0.08216,                 0.0488,                0.01652,                 3.6953,                 5.9232,                  3.144,                 1.1081,               0.034198,             0.00066063,             0.00066063
                      2,                 3.3577,                 4.2981,                 2.7641,                 1.0688,                0.18777,                0.10523,                 0.0814,                0.03214,                 0.1884,                0.09652,                0.06959,                0.02909,                 3.6298,                 5.5144,                 2.7884,                 1.0226,              0.0011905,             0.00098598,             0.00098598
                      3,                 3.2891,                 4.0992,                 2.4742,                 1.0227,                0.33886,                0.13791,                0.12931,                0.05419,                0.26403,                0.13128,                0.11481,                0.04552,                 3.4607,                 5.3485,                 2.4903,                 1.0088,               0.000982,               0.000982,               0.000982
                      4,                 3.3291,                  4.072,                 2.3687,                 1.0033,                0.30761,                0.19038,                0.15905,                0.07181,                0.27816,                0.17034,                0.14458,                0.06075,                  3.435,                 4.7739,                 2.3763,                0.98648,               0.000982,               0.000982,               0.000982
                      5,                 3.3209,                 4.0048,                 2.3082,                0.98518,                0.27786,                0.19981,                0.15572,                0.07044,                0.26731,                0.17587,                 0.1448,                0.05636,                 3.4871,                 4.3661,                 2.3988,                0.96749,               0.000976,               0.000976,               0.000976
                      6,                 3.2282,                 3.9797,                 2.1965,                0.96944,                0.41369,                0.16583,                0.17094,                0.08114,                0.40841,                0.14605,                0.16524,                0.07018,                 3.4468,                 4.6385,                 2.3884,                 0.9789,                0.00097,                0.00097,                0.00097
                      7,                 3.2045,                 3.8106,                  2.153,                0.95128,                0.33206,                 0.2185,                0.18451,                0.08654,                0.36793,                0.15754,                0.17811,                0.07897,                  3.398,                 4.7548,                 2.2901,                0.95863,               0.000964,               0.000964,               0.000964
                      8,                 3.2196,                 3.8654,                 2.1441,                0.96026,                0.44558,                0.17769,                0.18871,                 0.0896,                0.44215,                0.17362,                0.19821,                 0.0873,                 3.4257,                 4.9082,                 2.2924,                0.96436,               0.000958,               0.000958,               0.000958
                      9,                  3.155,                 3.9572,                 2.1674,                0.94952,                0.42522,                0.19013,                0.18977,                0.07866,                0.36424,                0.16641,                0.15971,                 0.0616,                 3.4513,                 4.5827,                 2.2626,                0.95897,               0.000952,               0.000952,               0.000952
                     10,                 3.0932,                 3.7479,                 2.0502,                0.95585,                 0.3805,                0.21417,                0.18746,                0.08302,                0.46108,                0.15387,                0.15908,                0.07599,                 3.4198,                 4.4577,                 2.3067,                0.94519,               0.000946,               0.000946,               0.000946
                     11,                 3.1293,                 3.8236,                 2.0273,                0.93757,                0.39692,                0.21743,                0.19454,                0.08662,                0.50118,                0.16511,                0.18184,                0.07464,                  3.396,                 4.4105,                 2.2195,                0.95519,                0.00094,                0.00094,                0.00094
                     12,                 3.1416,                 3.8182,                 2.0307,                0.93283,                   0.57,                0.16944,                0.20116,                0.09147,                0.62824,                0.15362,                0.19565,                0.08539,                 3.4032,                 4.6471,                 2.3037,                 0.9377,               0.000934,               0.000934,               0.000934
                     13,                 3.0393,                 3.7426,                 1.9596,                0.92588,                0.39754,                0.20975,                0.18778,                0.08791,                0.59615,                0.14575,                0.19099,                0.07991,                  3.418,                 4.6152,                 2.2237,                 0.9363,               0.000928,               0.000928,               0.000928
